,chr,subpop,clus.id,start,end,peak,width
879,02N,all,02N_all_120,27768856,27769238,27768856,382
880,02N,all,02N_all_121,27774088,27775525,27775525,1437
881,02N,all,02N_all_122,27783776,27794678,27794488,10902
882,02N,all,02N_all_123,27796806,27797933,27797933,1127
883,02N,all,02N_all_124,27799706,27802146,27802146,2440
884,02N,all,02N_all_125,27804467,27805566,27804467,1099
885,02N,all,02N_all_126,27808048,27809941,27808209,1893
886,02N,all,02N_all_127,27822752,27824543,27822752,1791
887,02N,all,02N_all_128,27849604,27850130,27850130,526
888,02N,all,02N_all_129,27854302,27856658,27855417,2356
889,02N,all,02N_all_130,27861858,27864946,27864946,3088
890,02N,all,02N_all_131,27912851,27919081,27917045,6230
891,02N,all,02N_all_132,27925855,27927509,27926809,1654
892,02N,all,02N_all_133,27931305,27934081,27934081,2776
893,02N,all,02N_all_134,27939080,27939323,27939080,243
894,02N,all,02N_all_135,27949541,27951683,27949541,2142
895,02N,all,02N_all_136,27966475,27966881,27966475,406
896,02N,all,02N_all_137,27971568,27971630,27971630,62
897,02N,all,02N_all_138,27976231,27976783,27976783,552
898,02N,all,02N_all_139,27979023,27980057,27980057,1034
899,02N,all,02N_all_140,27982471,27983342,27983342,871
900,02N,all,02N_all_141,27985958,27986972,27986972,1014
901,02N,all,02N_all_142,28063902,28064608,28064318,706
902,02N,all,02N_all_143,28066140,28066902,28066902,762
903,02N,all,02N_all_144,28069886,28070047,28069886,161
904,02N,all,02N_all_145,28071442,28072514,28072347,1072
905,02N,all,02N_all_146,28081547,28081627,28081627,80
906,02N,all,02N_all_147,28089828,28089973,28089973,145
907,02N,all,02N_all_148,28098506,28099764,28099764,1258
908,02N,all,02N_all_149,28107820,28107837,28107837,17
909,02N,all,02N_all_150,28108585,28118787,28118492,10202
910,02N,all,02N_all_151,28120012,28160154,28120012,40142
911,02N,all,02N_all_152,28282286,28283906,28282286,1620
912,02N,all,02N_all_153,28289256,28290409,28289612,1153
913,02N,all,02N_all_154,28295557,28295819,28295819,262
914,02N,all,02N_all_155,28297521,28304501,28304501,6980
915,02N,all,02N_all_156,28341999,28343454,28342738,1455
916,02N,all,02N_all_157,28344508,28345952,28345585,1444
917,02N,all,02N_all_158,28348283,28349920,28349920,1637
918,02N,all,02N_all_159,28357047,28359929,28359720,2882
919,02N,all,02N_all_160,28363897,28366655,28365794,2758
920,02N,all,02N_all_161,28381692,28384995,28384197,3303
921,02N,all,02N_all_162,28389342,28390633,28389342,1291
922,02N,all,02N_all_163,28461517,28461901,28461832,384
923,02N,all,02N_all_164,28470005,28473061,28472500,3056
924,02N,all,02N_all_165,28478999,28480905,28480905,1906
925,02N,all,02N_all_166,28482767,28483756,28483756,989
926,02N,all,02N_all_167,28486347,28486564,28486347,217
927,02N,all,02N_all_168,28494587,28496151,28496151,1564
928,02N,all,02N_all_169,28497934,28497982,28497982,48
929,02N,all,02N_all_170,28520069,28522918,28522918,2849
930,02N,all,02N_all_171,28529705,28532255,28532255,2550
931,02N,all,02N_all_172,28533976,28534237,28533976,261
932,02N,all,02N_all_173,28558111,28561408,28561408,3297
933,02N,all,02N_all_174,28565349,28565494,28565349,145
934,02N,all,02N_all_175,28566720,28570215,28570215,3495
935,02N,all,02N_all_176,28589357,28591185,28591185,1828
936,02N,all,02N_all_177,28596640,28597964,28596640,1324
937,02N,all,02N_all_178,28601803,28605213,28604024,3410
938,02N,all,02N_all_179,28615062,28616410,28615062,1348
939,02N,all,02N_all_180,28621739,28623418,28621852,1679
940,02N,all,02N_all_181,28627536,28628718,28627536,1182
941,02N,all,02N_all_182,28631798,28634847,28631798,3049
942,02N,all,02N_all_183,28642673,28643001,28642704,328
943,02N,all,02N_all_184,28648932,28651262,28648932,2330
944,02N,all,02N_all_185,28670480,28670734,28670480,254
945,02N,all,02N_all_186,28673599,28694443,28694443,20844
946,02N,all,02N_all_187,28718583,28718823,28718823,240
947,02N,all,02N_all_188,28722022,28722647,28722647,625
948,02N,all,02N_all_189,28731686,28735534,28731686,3848
949,02N,all,02N_all_190,28771214,28793054,28774816,21840
950,02N,all,02N_all_191,28799441,28799775,28799775,334
951,02N,all,02N_all_192,28814738,28814999,28814999,261
952,02N,all,02N_all_193,28817468,28818167,28817468,699
953,02N,all,02N_all_194,28819807,28820917,28820917,1110
954,02N,all,02N_all_195,28839510,28841800,28839510,2290
955,02N,all,02N_all_196,28848076,28848129,28848129,53
956,02N,all,02N_all_197,28891062,28893127,28893127,2065
957,02N,all,02N_all_198,28902498,28907588,28902498,5090
958,02N,all,02N_all_199,28915099,28917482,28917001,2383
959,02N,all,02N_all_200,28919315,28926009,28919315,6694
960,02N,all,02N_all_201,28927281,28932618,28932508,5337
961,02N,all,02N_all_202,28935479,28937837,28935479,2358
962,02N,all,02N_all_203,28941888,28943057,28943057,1169
963,02N,all,02N_all_204,28948310,28949461,28948310,1151
964,02N,all,02N_all_205,28965629,28967602,28967119,1973
965,02N,all,02N_all_206,28970428,28973950,28970428,3522
966,02N,all,02N_all_207,28981227,28986917,28981968,5690
967,02N,all,02N_all_208,28990147,28990243,28990147,96
968,02N,all,02N_all_209,28995331,28997672,28997672,2341
969,02N,all,02N_all_210,29004590,29008485,29008473,3895
970,02N,all,02N_all_211,29011071,29011638,29011071,567
971,02N,all,02N_all_212,29013170,29014970,29014970,1800
972,02N,all,02N_all_213,29039923,29040779,29039923,856
973,02N,all,02N_all_214,29048802,29049308,29049308,506
974,02N,all,02N_all_215,29050498,29052657,29052657,2159
975,02N,all,02N_all_216,29053942,29057027,29057027,3085
976,02N,all,02N_all_217,29063622,29065475,29063622,1853
977,02N,all,02N_all_218,29073715,29075854,29074690,2139
978,02N,all,02N_all_219,29077038,29077628,29077628,590
979,02N,all,02N_all_220,29080073,29081686,29080073,1613
980,02N,all,02N_all_221,29085673,29086142,29085673,469
981,02N,all,02N_all_222,29088704,29090488,29088704,1784
982,02N,all,02N_all_223,29134754,29135401,29134757,647
983,02N,all,02N_all_224,29139552,29139708,29139552,156
984,02N,all,02N_all_225,29165616,29169484,29169484,3868
985,02N,all,02N_all_226,29178978,29180110,29178978,1132
986,02N,all,02N_all_227,29182118,29182415,29182118,297
987,02N,all,02N_all_228,29187037,29187046,29187037,9
988,02N,all,02N_all_229,29193257,29193806,29193257,549
989,02N,all,02N_all_230,29199641,29200837,29200837,1196
990,02N,all,02N_all_231,29208838,29209150,29209150,312
991,02N,all,02N_all_232,29211399,29215669,29215669,4270
992,02N,all,02N_all_233,29217941,29219519,29218514,1578
993,02N,all,02N_all_234,29228507,29236623,29228507,8116
994,02N,all,02N_all_235,29239533,29240612,29239533,1079
995,02N,all,02N_all_236,29244197,29249856,29249856,5659
996,02N,all,02N_all_237,29254752,29257932,29255373,3180
997,02N,all,02N_all_238,29262570,29263144,29262570,574
998,02N,all,02N_all_239,29273567,29278602,29273567,5035
999,02N,all,02N_all_240,29280630,29280722,29280722,92
1000,02N,all,02N_all_241,29291104,29294792,29294792,3688
1001,02N,all,02N_all_242,29296510,29296532,29296510,22
1002,02N,all,02N_all_243,29320304,29322470,29320304,2166
1003,02N,all,02N_all_244,29325469,29325992,29325992,523
1004,02N,all,02N_all_245,29328712,29330149,29329383,1437
1005,02N,all,02N_all_246,29332772,29333441,29333441,669
1006,02N,all,02N_all_247,29334812,29338093,29337589,3281
1007,02N,all,02N_all_248,29354758,29355444,29355257,686
1008,02N,all,02N_all_249,29358113,29359068,29358994,955
1009,02N,all,02N_all_250,29366371,29366951,29366951,580
1010,02N,all,02N_all_251,29370135,29371103,29370135,968
1011,02N,all,02N_all_252,29377096,29378217,29378217,1121
1012,02N,all,02N_all_253,29384726,29385743,29385308,1017
1013,02N,all,02N_all_254,29399479,29405770,29399479,6291
1014,02N,all,02N_all_255,29408042,29409991,29408042,1949
1015,02N,all,02N_all_256,29411564,29413427,29411739,1863
1016,02N,all,02N_all_257,29415301,29415995,29415301,694
1017,02N,all,02N_all_258,29421090,29421405,29421090,315
1018,02N,all,02N_all_259,29428187,29428798,29428187,611
1019,02N,all,02N_all_260,29435106,29440777,29440092,5671
1020,02N,all,02N_all_261,29455787,29457026,29455787,1239
1021,02N,all,02N_all_262,29480894,29484964,29480894,4070
1022,02N,all,02N_all_263,29486635,29487434,29486635,799
1023,02N,all,02N_all_264,29523092,29524672,29523668,1580
1024,02N,all,02N_all_265,29526853,29527087,29526853,234
1025,02N,all,02N_all_266,29528629,29528663,29528663,34
1026,02N,all,02N_all_267,29558252,29558516,29558516,264
1027,02N,all,02N_all_268,29671164,29672449,29671164,1285
1028,02N,all,02N_all_269,29681943,29683137,29683137,1194
1029,02N,all,02N_all_270,29688180,29688451,29688180,271
1030,02N,all,02N_all_271,29696045,29697246,29697246,1201
1031,02N,all,02N_all_272,29697951,29698764,29698764,813
1032,02N,all,02N_all_273,29700338,29702405,29700769,2067
1033,02N,all,02N_all_274,29722753,29722804,29722804,51
1034,02N,all,02N_all_275,29732706,29737435,29733189,4729
1035,02N,all,02N_all_276,29749485,29750365,29750365,880
1036,02N,all,02N_all_277,29760260,29760605,29760260,345
1037,02N,all,02N_all_278,29762278,29765150,29762789,2872
1038,02N,all,02N_all_279,29792360,29794024,29792360,1664
1039,02N,all,02N_all_280,29805533,29806874,29805533,1341
1040,02N,all,02N_all_281,29807963,29808060,29808060,97
1041,02N,all,02N_all_282,29812039,29812083,29812083,44
1042,02N,all,02N_all_283,29814164,29814231,29814231,67
1043,02N,all,02N_all_284,29822223,29823370,29822223,1147
1044,02N,all,02N_all_285,29831396,29831446,29831446,50
1045,02N,all,02N_all_286,29832413,29834128,29834128,1715
1046,02N,all,02N_all_287,29837529,29847390,29847390,9861
1047,02N,all,02N_all_288,29867935,29868418,29868418,483
1048,02N,all,02N_all_289,29870236,29870376,29870376,140
1049,02N,all,02N_all_290,29885896,29886580,29886580,684
1050,02N,all,02N_all_291,29929731,29941019,29941019,11288
1051,02N,all,02N_all_292,29942143,29942239,29942143,96
1052,02N,all,02N_all_293,29949346,29950421,29949768,1075
1053,02N,all,02N_all_294,29957584,29958868,29958868,1284
1054,02N,all,02N_all_295,29983499,29987007,29986272,3508
1055,02N,all,02N_all_296,29999610,30000612,30000001,1002
1056,02N,all,02N_all_297,30002506,30004079,30002957,1573
1057,02N,all,02N_all_298,30074369,30076524,30075362,2155
1058,02N,all,02N_all_299,30077150,30078760,30077188,1610
1059,02N,all,02N_all_300,30082594,30084608,30083738,2014
1060,02N,all,02N_all_301,30111382,30111990,30111382,608
1061,02N,all,02N_all_302,30113903,30113931,30113903,28
1062,02N,all,02N_all_303,30200220,30200683,30200683,463
1063,02N,all,02N_all_304,30325980,30326274,30326274,294
1064,02N,all,02N_all_305,30518398,30518508,30518508,110
1065,02N,all,02N_all_306,30544646,30544871,30544871,225
1066,02N,all,02N_all_307,30548401,30553625,30550822,5224
1067,02N,all,02N_all_308,30555715,30555851,30555773,136
1068,02N,all,02N_all_309,30559326,30569516,30568083,10190
1069,02N,all,02N_all_310,30583853,30584310,30584310,457
1070,02N,all,02N_all_311,30634397,30637633,30635739,3236
1071,02N,all,02N_all_312,30645396,30653717,30653717,8321
1072,02N,all,02N_all_313,30657232,30661659,30661659,4427
1073,02N,all,02N_all_314,30675280,30676093,30675280,813
1074,02N,all,02N_all_315,30679463,30680119,30679463,656
1075,02N,all,02N_all_316,30684255,30684749,30684255,494
1076,02N,all,02N_all_317,30689588,30690430,30689588,842
1077,02N,all,02N_all_318,30696253,30696538,30696458,285
1078,02N,all,02N_all_319,30698052,30698390,30698390,338
1079,02N,all,02N_all_320,30709235,30711929,30711929,2694
1080,02N,all,02N_all_321,30720995,30721532,30720995,537
1081,02N,all,02N_all_322,30729474,30731885,30730004,2411
1082,02N,all,02N_all_323,30736417,30738413,30736417,1996
1083,02N,all,02N_all_324,30760263,30761392,30760263,1129
1084,02N,all,02N_all_325,30766874,30768720,30767485,1846
1085,02N,all,02N_all_326,30769895,30770181,30769895,286
1086,02N,all,02N_all_327,30800103,30800485,30800485,382
1087,02N,all,02N_all_328,30962984,30964203,30964203,1219
1088,02N,all,02N_all_329,30967998,30969245,30969186,1247
1089,02N,all,02N_all_330,30972231,30973526,30973491,1295
1090,02N,all,02N_all_331,30984479,30985549,30984479,1070
1091,02N,all,02N_all_332,30987131,30987326,30987326,195
1092,02N,all,02N_all_333,30989873,30990372,30989873,499
1093,02N,all,02N_all_334,30993752,30994158,30993941,406
1094,02N,all,02N_all_335,30996363,30998800,30996363,2437
1095,02N,all,02N_all_336,31002329,31003707,31003707,1378
1096,02N,all,02N_all_337,31004917,31004996,31004996,79
1097,02N,all,02N_all_338,31035582,31038970,31036015,3388
1098,02N,all,02N_all_339,31041162,31041328,31041328,166
1099,02N,all,02N_all_340,31042489,31044417,31042790,1928
1100,02N,all,02N_all_341,31046475,31046567,31046567,92
1101,02N,all,02N_all_342,31079072,31079950,31079950,878
1102,02N,all,02N_all_343,31089793,31092963,31092347,3170
1103,02N,all,02N_all_344,31110854,31112051,31112051,1197
1104,02N,all,02N_all_345,31119021,31120005,31120005,984
1105,02N,all,02N_all_346,31121799,31124545,31121799,2746
1106,02N,all,02N_all_347,31125683,31126137,31125683,454
1107,02N,all,02N_all_348,31128659,31131162,31128659,2503
1108,02N,all,02N_all_349,31132378,31133209,31132378,831
1109,02N,all,02N_all_350,31135960,31136893,31135960,933
1110,02N,all,02N_all_351,31156357,31157319,31156357,962
1111,02N,all,02N_all_352,31158622,31161929,31158642,3307
1112,02N,all,02N_all_353,31200188,31200912,31200188,724
1113,02N,all,02N_all_354,31207445,31221403,31207984,13958
1114,02N,all,02N_all_355,31255772,31258078,31258078,2306
1115,02N,all,02N_all_356,31264523,31264809,31264523,286
1116,02N,all,02N_all_357,31281558,31291993,31291993,10435
1117,02N,all,02N_all_358,31294708,31295451,31294708,743
1118,02N,all,02N_all_359,31319608,31322120,31322120,2512
1119,02N,all,02N_all_360,31330407,31330765,31330765,358
1120,02N,all,02N_all_361,31343902,31345575,31343902,1673
1121,02N,all,02N_all_362,31362710,31363501,31362743,791
1122,02N,all,02N_all_363,31368467,31368468,31368468,1
1123,02N,all,02N_all_364,31901814,31905287,31901814,3473
1124,02N,all,02N_all_365,31906792,31907507,31907507,715
1125,02N,all,02N_all_366,31974587,31979595,31975849,5008
1126,02N,all,02N_all_367,31980589,31982936,31982785,2347
1127,02N,all,02N_all_368,31984077,31984090,31984090,13
1128,02N,all,02N_all_369,32057135,32057679,32057679,544
1129,02N,all,02N_all_370,32063630,32063927,32063630,297
1130,02N,all,02N_all_371,32064716,32070227,32064716,5511
1131,02N,all,02N_all_372,32139606,32143085,32141023,3479
1132,02N,all,02N_all_373,32145929,32146593,32146593,664
1133,02N,all,02N_all_374,32175970,32177433,32175970,1463
1134,02N,all,02N_all_375,32178912,32179656,32179656,744
1135,02N,all,02N_all_376,32180739,32183333,32180739,2594
1136,02N,all,02N_all_377,32196031,32197171,32197171,1140
1137,02N,all,02N_all_378,32200703,32201300,32201300,597
1138,02N,all,02N_all_379,32202242,32202467,32202467,225
1139,02N,all,02N_all_380,32203992,32204658,32204658,666
1140,02N,all,02N_all_381,32206553,32207454,32206553,901
1141,02N,all,02N_all_382,32208344,32210264,32209194,1920
1142,02N,all,02N_all_383,32212481,32212655,32212655,174
1143,02N,all,02N_all_384,32231883,32232581,32232581,698
1144,02N,all,02N_all_385,32249569,32249710,32249569,141
1145,02N,all,02N_all_386,32250871,32251246,32251246,375
1146,02N,all,02N_all_387,32252090,32252302,32252302,212
1147,02N,all,02N_all_388,32255741,32256689,32255741,948
1148,02N,all,02N_all_389,32265119,32265636,32265636,517
1149,02N,all,02N_all_390,32268260,32269209,32268600,949
1150,02N,all,02N_all_391,32270261,32271438,32270261,1177
1151,02N,all,02N_all_392,32276219,32276307,32276307,88
1152,02N,all,02N_all_393,32281784,32283094,32283094,1310
1153,02N,all,02N_all_394,32292664,32295187,32292664,2523
1154,02N,all,02N_all_395,32316547,32319390,32319390,2843
1155,02N,all,02N_all_396,32341949,32342756,32341949,807
1156,02N,all,02N_all_397,32348154,32350994,32348758,2840
1157,02N,all,02N_all_398,32353668,32353731,32353731,63
1158,02N,all,02N_all_399,32359531,32359600,32359600,69
1159,02N,all,02N_all_400,32362128,32363012,32362824,884
1160,02N,all,02N_all_401,32367114,32368187,32368187,1073
1161,02N,all,02N_all_402,32375551,32378355,32378355,2804
1162,02N,all,02N_all_403,32380778,32381801,32380825,1023
1163,02N,all,02N_all_404,32439382,32442892,32439382,3510
1164,02N,all,02N_all_405,32456063,32458319,32456063,2256
1165,02N,all,02N_all_406,32462619,32466679,32465315,4060
1166,02N,all,02N_all_407,32492335,32495406,32494088,3071
1167,02N,all,02N_all_408,32496517,32496887,32496887,370
1168,02N,all,02N_all_409,32499077,32499142,32499142,65
1169,02N,all,02N_all_410,32505353,32505652,32505353,299
1170,02N,all,02N_all_411,32507381,32507979,32507381,598
1171,02N,all,02N_all_412,32515170,32515205,32515170,35
1172,02N,all,02N_all_413,32517783,32518378,32518378,595
1173,02N,all,02N_all_414,32522722,32523939,32522722,1217
1174,02N,all,02N_all_415,32529968,32530202,32529968,234
1175,02N,all,02N_all_416,32551670,32551879,32551879,209
1176,02N,all,02N_all_417,32554869,32555613,32555613,744
1177,02N,all,02N_all_418,32559452,32561020,32559452,1568
1178,02N,all,02N_all_419,32562414,32567467,32566829,5053
1179,02N,all,02N_all_420,32569171,32571114,32569311,1943
1180,02N,all,02N_all_421,32572998,32573038,32572998,40
1181,02N,all,02N_all_422,32575011,32576277,32575322,1266
1182,02N,all,02N_all_423,32580490,32582301,32582301,1811
1183,02N,all,02N_all_424,32586929,32590258,32586929,3329
1184,02N,all,02N_all_425,32592149,32592428,32592428,279
1185,02N,all,02N_all_426,32598457,32598744,32598457,287
1186,02N,all,02N_all_427,32612313,32614540,32614286,2227
1187,02N,all,02N_all_428,32615928,32616903,32616903,975
1188,02N,all,02N_all_429,32627941,32628248,32627941,307
1189,02N,all,02N_all_430,32631162,32633480,32631162,2318
1190,02N,all,02N_all_431,32672551,32673005,32672551,454
1191,02N,all,02N_all_432,32680805,32682939,32682939,2134
1192,02N,all,02N_all_433,32685507,32685824,32685824,317
1193,02N,all,02N_all_434,32688499,32688723,32688499,224
1194,02N,all,02N_all_435,32701911,32704176,32704176,2265
1195,02N,all,02N_all_436,32706481,32709021,32706481,2540
1196,02N,all,02N_all_437,32710630,32712945,32712003,2315
1197,02N,all,02N_all_438,32715377,32717173,32717173,1796
1198,02N,all,02N_all_439,32718236,32718301,32718236,65
1199,02N,all,02N_all_440,32727081,32727753,32727081,672
1200,02N,all,02N_all_441,32730826,32732535,32732057,1709
1201,02N,all,02N_all_442,32737044,32741555,32737455,4511
1202,02N,all,02N_all_443,32745365,32745974,32745365,609
1203,02N,all,02N_all_444,32750382,32750552,32750382,170
1204,02N,all,02N_all_445,32756857,32758568,32758167,1711
1205,02N,all,02N_all_446,32761102,32761370,32761370,268
1206,02N,all,02N_all_447,32763065,32763690,32763065,625
1207,02N,all,02N_all_448,32797783,32798181,32798181,398
1208,02N,all,02N_all_449,32800680,32801871,32801108,1191
1209,02N,all,02N_all_450,32824367,32827347,32824367,2980
1210,02N,all,02N_all_451,32838386,32838639,32838639,253
1211,02N,all,02N_all_452,32859172,32859807,32859172,635
1212,02N,all,02N_all_453,32884805,32886629,32884805,1824
1213,02N,all,02N_all_454,32891944,32892045,32892044,101
1214,02N,all,02N_all_455,32893029,32893227,32893206,198
1215,02N,all,02N_all_456,32898633,32900062,32899832,1429
1216,02N,all,02N_all_457,32900539,32900883,32900539,344
1217,02N,all,02N_all_458,32901569,32901785,32901785,216
1218,02N,all,02N_all_459,32908573,32911658,32910869,3085
1219,02N,all,02N_all_460,32925948,32927107,32926319,1159
1220,02N,all,02N_all_461,32931385,32932267,32932267,882
1221,02N,all,02N_all_462,32942435,32943241,32942555,806
1222,02N,all,02N_all_463,32944194,32944709,32944194,515
1223,02N,all,02N_all_464,32946455,32948907,32946505,2452
1224,02N,all,02N_all_465,32956823,32957874,32956823,1051
1225,02N,all,02N_all_466,32961854,32962936,32962936,1082
1226,02N,all,02N_all_467,32965384,32966389,32965384,1005
1227,02N,all,02N_all_468,32967903,32971039,32970186,3136
1228,02N,all,02N_all_469,32972510,32972872,32972510,362
1229,02N,all,02N_all_470,32976341,32977337,32976801,996
1230,02N,all,02N_all_471,32980329,32981707,32980329,1378
1231,02N,all,02N_all_472,32987071,33000659,33000524,13588
1232,02N,all,02N_all_473,33004501,33004984,33004501,483
1233,02N,all,02N_all_474,33009536,33013626,33013626,4090
1234,02N,all,02N_all_475,33015136,33016187,33015679,1051
1235,02N,all,02N_all_476,33020633,33021807,33021807,1174
1236,02N,all,02N_all_477,33025235,33025556,33025556,321
1237,02N,all,02N_all_478,33027562,33028220,33028220,658
1238,02N,all,02N_all_479,33031743,33033077,33031743,1334
1239,02N,all,02N_all_480,33048263,33050469,33050469,2206
1240,02N,all,02N_all_481,33114808,33131550,33115286,16742
1241,02N,all,02N_all_482,33138995,33139137,33138995,142
1242,02N,all,02N_all_483,33150943,33151165,33151165,222
1243,02N,all,02N_all_484,33153323,33155163,33155163,1840
1244,02N,all,02N_all_485,33156001,33156561,33156109,560
1245,02N,all,02N_all_486,33159243,33159612,33159243,369
1246,02N,all,02N_all_487,33167424,33167765,33167424,341
1247,02N,all,02N_all_488,33311852,33312190,33312190,338
1248,02N,all,02N_all_489,33325497,33331800,33325497,6303
1249,02N,all,02N_all_490,33333931,33334773,33334044,842
1250,02N,all,02N_all_491,33340435,33341111,33340435,676
1251,02N,all,02N_all_492,33372952,33374753,33374128,1801
1252,02N,all,02N_all_493,33378097,33380420,33378097,2323
1253,02N,all,02N_all_494,33383289,33384799,33383289,1510
1254,02N,all,02N_all_495,33387873,33388653,33387873,780
1255,02N,all,02N_all_496,33410416,33411527,33411527,1111
1256,02N,all,02N_all_497,33432259,33433992,33433892,1733
1257,02N,all,02N_all_498,33440080,33440553,33440080,473
1258,02N,all,02N_all_499,33470160,33470943,33470943,783
1259,02N,all,02N_all_500,43744259,43744617,43744617,358
1260,02N,all,02N_all_501,43748667,43750349,43748667,1682
1261,02N,all,02N_all_502,43978779,43981386,43981386,2607
1262,02N,all,02N_all_503,44159285,44159773,44159285,488
1263,02N,all,02N_all_504,45385878,45385879,45385878,1
1264,02N,all,02N_all_505,45556302,45557519,45556302,1217
1265,02N,all,02N_all_506,45563316,45566427,45563916,3111
1266,02N,all,02N_all_507,45574378,45576635,45574378,2257
1267,02N,all,02N_all_508,46116266,46116703,46116266,437
1268,02N,all,02N_all_509,46148609,46153181,46152646,4572
1269,02N,all,02N_all_510,46165633,46166918,46166274,1285
1270,02N,all,02N_all_511,46169153,46169549,46169153,396
1271,02N,all,02N_all_512,46173271,46174871,46173271,1600
1272,02N,all,02N_all_513,46177209,46192335,46178959,15126
1273,02N,all,02N_all_514,46207252,46208043,46208043,791
1274,02N,all,02N_all_515,46209471,46212894,46212894,3423
1275,02N,all,02N_all_516,46214087,46215330,46215330,1243
1276,02N,all,02N_all_517,46216504,46217683,46216677,1179
1277,02N,all,02N_all_518,46219538,46219858,46219718,320
1278,02N,all,02N_all_519,46221740,46223801,46221740,2061
1279,02N,all,02N_all_520,46225092,46225664,46225664,572
1280,02N,all,02N_all_521,46227794,46228969,46228297,1175
1281,02N,all,02N_all_522,46229674,46230389,46229674,715
1282,02N,all,02N_all_523,46263301,46264757,46264757,1456
1283,02N,all,02N_all_524,47724853,47724891,47724891,38
1284,02N,all,02N_all_525,47726481,47726491,47726481,10
1285,02N,all,02N_all_526,49561205,49563776,49563776,2571
1286,02N,all,02N_all_527,51590842,51591020,51590842,178
1287,02N,all,02N_all_528,53482726,53486681,53486681,3955
1288,02N,all,02N_all_529,54215734,54216398,54215734,664
1289,02N,all,02N_all_530,54457750,54461029,54460059,3279
1290,02N,all,02N_all_531,55132669,55132839,55132837,170
1291,02N,all,02N_all_532,55360402,55360461,55360402,59
1292,02N,all,02N_all_533,55402277,55402379,55402277,102
1293,02N,all,02N_all_534,55403140,55403773,55403315,633
1294,02N,all,02N_all_535,55409402,55421181,55409402,11779
1295,02N,all,02N_all_536,55424202,55424217,55424217,15
1296,02N,all,02N_all_537,55531721,55547227,55533158,15506
1297,02N,all,02N_all_538,56116365,56117606,56117606,1241
1298,02N,all,02N_all_539,56121734,56132849,56132770,11115
1299,02N,all,02N_all_540,56434036,56437426,56437293,3390
1300,02N,all,02N_all_541,63453907,63453976,63453976,69
1301,02N,all,02N_all_542,63459507,63460526,63459507,1019
1302,02N,all,02N_all_543,63965579,63965668,63965668,89
1303,02N,all,02N_all_544,64185183,64185444,64185444,261
1304,02N,all,02N_all_545,65060502,65060509,65060502,7
1305,02N,all,02N_all_546,69205825,69207565,69207565,1740
1306,02N,all,02N_all_547,69594641,69599414,69598369,4773
1307,02N,all,02N_all_548,69677274,69677854,69677854,580
1308,02N,all,02N_all_549,69689404,69691285,69689404,1881
1309,02N,all,02N_all_550,69790864,69791183,69790864,319
1310,02N,all,02N_all_551,69967371,69967378,69967378,7
1311,02N,all,02N_all_552,69977142,69978273,69978130,1131
1312,03K,all,03K_all_1,1095991,1096282,1096282,291
1313,03K,all,03K_all_2,1966207,1966231,1966207,24
1314,03K,all,03K_all_3,2848491,2853811,2848491,5320
1315,03K,all,03K_all_4,5731089,5731157,5731089,68
1316,03K,all,03K_all_5,6872009,6872139,6872139,130
1317,03K,all,03K_all_6,8171516,8179873,8171727,8357
1318,03K,all,03K_all_7,8266006,8267640,8266006,1634
1319,03K,all,03K_all_8,8357684,8357964,8357964,280
1320,03K,all,03K_all_9,8359283,8360742,8360742,1459
1321,03K,all,03K_all_10,9251679,9252405,9251679,726
1322,03K,all,03K_all_11,11633481,11634472,11634472,991
1323,03K,all,03K_all_12,11911979,11921687,11918193,9708
1324,03K,all,03K_all_13,12867564,12867860,12867793,296
1325,03K,all,03K_all_14,12878792,12879102,12879102,310
1326,03K,all,03K_all_15,12998279,13000473,12999892,2194
1327,03K,all,03K_all_16,13093218,13099318,13094121,6100
1328,03K,all,03K_all_17,13104416,13106778,13106495,2362
1329,03K,all,03K_all_18,13108078,13108947,13108947,869
1330,03K,all,03K_all_19,13110549,13111449,13110549,900
1331,03K,all,03K_all_20,13133501,13133888,13133888,387
1332,03K,all,03K_all_21,13698608,13698967,13698608,359
1333,03K,all,03K_all_22,13769696,13769967,13769967,271
1334,03K,all,03K_all_23,13840634,13843556,13840634,2922
1335,03K,all,03K_all_24,14016918,14016924,14016918,6
1336,03K,all,03K_all_25,14021741,14021898,14021898,157
1337,03K,all,03K_all_26,14389629,14389654,14389654,25
1338,03K,all,03K_all_27,14480398,14481143,14480920,745
1339,03K,all,03K_all_28,14797356,14798550,14797356,1194
1340,03K,all,03K_all_29,14821954,14823091,14822447,1137
1341,03K,all,03K_all_30,14991462,14993322,14991462,1860
1342,03K,all,03K_all_31,15028754,15030610,15030389,1856
1343,03K,all,03K_all_32,15082772,15083513,15082772,741
1344,03K,all,03K_all_33,15685552,15686548,15685552,996
1345,03K,all,03K_all_34,16004396,16004590,16004590,194
1346,03K,all,03K_all_35,18853577,18860046,18855586,6469
1347,03K,all,03K_all_36,19140587,19141157,19140587,570
1348,03K,all,03K_all_37,19504806,19507897,19504806,3091
1349,03K,all,03K_all_38,20534045,20534052,20534052,7
1350,03K,all,03K_all_39,20545707,20546061,20545707,354
1351,03K,all,03K_all_40,20760689,20763161,20763161,2472
1352,03K,all,03K_all_41,21309502,21310586,21309727,1084
1353,03K,all,03K_all_42,22304462,22307644,22307379,3182
1354,03K,all,03K_all_43,22749396,22750374,22750374,978
1355,03K,all,03K_all_44,23038250,23038318,23038250,68
